Afghanistan,Afghan,,,,,
Albania,Albanian,,,,,
Algeria,Algerian,,,,,
American Samoa,American Samoan,,,,,
Andorra,Andorran,,,,,
Angola,Angolan,,,,,
Anguilla,Anguillan,,,,,
Antarctica,Antarctic,,,,,
Antigua and Barbuda,Antiguan,Barbudan,,,,
Argentina,Argentine,,,,,
Armenia,Armenian,,,,,
Aruba,Aruban,,,,,
Australia,Australian,,,,,
Austria,Austrian,,,,,
Azerbaijan,Azerbaijani,Azeri,,,,
"Bahamas, The",Bahamian,the Bahamas,Bahamas,The Bahamas,,
Bahrain,Bahraini,,,,,
Bangladesh,Bangladeshi,,,,,
Barbados,Barbadian,,,,,
Belarus,Belarusian,,,,,
Belgium,Belgian,,,,,
Belize,Belizean,,,,,
Benin,Beninese,Beninois,,,,
Bermuda,Bermudian,Bermudan,,,,
Bhutan,Bhutanese,,,,,
Bolivia,Bolivian,,,,,
Bonaire,Bonaire,,,,,
Bosnia and Herzegovina,Bosnian,Herzegovinan,Bosnia,,,
Botswana,Motswana,Botswanan,,,,
Bouvet Island,Bouvet Island,,,,,
Brazil,Brazilian,,,,,
British Indian Ocean Territory,BIOT,,,,,
Brunei,Bruneian,,,,,
Bulgaria,Bulgarian,,,,,
Burkina Faso,Burkinabé,Burkanibe,,,,
Burma,Burmese,Myanmar,,,,
Burundi,Burundian,,,,,
Cabo Verde,Cape Verdean,Cabo Verdean,Cape Verde,,,
Cambodia,Cambodian,,,,,
Cameroon,Cameroonian,,,,,
Canada,Canadian,,,,,
Cayman Islands,Caymanian,,,,,
Central African Republic,Central African,,,,,
Chad,Chadian,,,,,
Chile,Chilean,,,,,
"China, People's Republic of",Chinese,China,,,,
"China, Republic of",Taiwanese,Taiwan,,,,
Christmas Island,Christmas Island,,,,,
Cocos (Keeling) Islands,Cocos Island,,,,,
Colombia,Colombian,,,,,
Comoros,Comorian,Comoran,,,,
"Congo, Democratic Republic of the",Democratic Republic of the Congo,DRC,,,,
"Congo, Republic of the",Republic of the Congo,Republic of Congo,,,,
Cook Islands,Cook Island,,,,,
Costa Rica,Costa Rican,,,,,
Côte d'Ivoire,Ivorian,,,,,
Country name,Adjectivals and alternate names,,,,,
Croatia,Croatian,,,,,
Cuba,Cuban,,,,,
Curaçao,Curaçaoan,,,,,
Cyprus,Cypriot,,,,,
Czech Republic,Czech,,,,,
Czechoslovakia,Czechoslovakian,,,,,
Denmark,Danish,,,,,
Djibouti,Djiboutian,,,,,
Dominica,Dominican,,,,,
Dominican Republic,,,,,,
East Germany,East German,,,,,
Ecuador,Ecuadorian,,,,,
Egypt,Egyptian,,,,,
